,Violence against the person ratio,Sexual offences ratio,Robbery ratio,Theft offences ratio,Criminal damage and arson ratio,Drug offences ratio,Other Crime Ratio,Total Employee All (thousands),Male life expectancy at birth (2012/2020)4,Female life expectancy at birth (2020)4,Median,Lower quartile,total_hoseholds_projected_2020,Year 2020: Households with dependent children ratio,Year 2020: One person households: Female ratio,Year 2020: One person households: Male ratio,pop_ratio_under_10,pop_ratio_teenager,pop_ratio_20_39,pop_ratio_40_60,pop_ratio_60_80,pop_ratio_80_90+,POP All ages,Total area as at 31 December 2020 (Hectares),median_houses_2020,median_earning_2020,ratio_by_medians_2020,lower_quatile_houses_2020,lower_quatile_earning_2020,ratio_by_lower_quatile_2020,Total_Threaten_or_is_Homeless,A_B_property_counts,C_D_property_counts,E_F_property_counts,G_H_property_counts,Taxi_only_licensed_drivers,Total_licensed_vehicles,total_drivers,Retail,Education,Health,"Arts, entertainment, recreation & other services"
91,0.34766158,0.037154199,0.016251085,0.3596328,0.105445974,0.040937849,0.092916512,108.2,78.5,82.9,950.0,825.0,65307.0,0.476940361,0.245726849,0.27733279,0.138177713,0.11971036,0.317425173,0.253453663,0.135358651,0.035874439,160337.0,4040.0,300000.0,32878.0,9.12,250000.0,23373.0,10.7,353.0,22050.0,41080.0,9040.0,1960.0,392.0,857.0,1249.0,455.0,120.0,285.0,395.0
92,0.408816072,0.041544763,0.002535596,0.25668032,0.120343281,0.036278525,0.133801443,30.7,82.1,84.6,720.0,625.0,40718.0,0.442757643,0.316971987,0.24027037,0.09756834,0.110033968,0.186962851,0.273370356,0.259200949,0.072863536,92735.0,59510.0,280000.0,31677.0,8.84,219475.0,20703.0,10.6,59.0,16980.0,16050.0,6930.0,1890.0,0.0,159.0,159.0,260.0,60.0,120.0,230.0
93,0.345727874,0.029999667,0.007716101,0.362324143,0.109921176,0.042039445,0.102271593,85.1,82.1,84.9,587.5,510.0,69747.0,0.505771202,0.264108066,0.230120732,0.098446408,0.106295621,0.199763815,0.267451414,0.2557490305,0.0722937115,125292.5,62675.0,247000.0,31965.5,7.744999999999999,191250.0,22827.5,8.375,110.5,43840.0,19925.0,7950.0,1410.0,0.0,205.5,205.5,382.5,82.5,210.0,352.5
94,0.452765957,0.033049645,0.005815603,0.263829787,0.118014184,0.022269504,0.104255319,39.4,79.0,82.4,575.0,500.0,50966.0,0.479540946,0.269026588,0.251432466,0.112551527,0.110633465,0.233608143,0.282476655,0.213830235,0.046899975,118870.0,20280.0,174500.0,31110.0,5.61,128500.0,21713.0,5.92,107.0,27010.0,16540.0,7560.0,1040.0,14.0,166.0,180.0,355.0,75.0,175.0,300.0
95,0.410816469,0.031588742,0.009444057,0.245080251,0.106117702,0.027331938,0.169620842,151.9,78.9,82.3,525.0,450.0,181052.0,0.483265155,0.252677147,0.264057698,0.125194317,0.124414784,0.251539804,0.263531918,0.188712638,0.04660654,441290.0,40860.0,160000.0,29001.0,5.52,115000.0,21544.0,5.34,360.0,120480.0,49390.0,17530.0,2370.0,0.0,2020.0,2020.0,1635.0,245.0,785.0,865.0
96,0.403750189,0.022531378,0.006426735,0.203084833,0.131332224,0.089747467,0.143127174,69.3,76.9,80.5,625.0,542.0,63576.0,0.47741097,0.278134345,0.244454685,0.132107155,0.114350746,0.262502296,0.251495553,0.19349697,0.04604728,152452.0,8650.0,150000.0,29807.0,5.03,108000.0,21639.0,4.99,235.0,52700.0,14610.0,2160.0,150.0,184.0,1339.0,1523.0,255.0,55.0,170.0,200.0
97,0.374942692,0.029258534,0.00850248,0.264618847,0.131871796,0.031592548,0.159213104,81.1,78.4,81.8,475.0,425.0,109897.0,0.465032855,0.266229637,0.268737507,0.117131789,0.109230825,0.247022022,0.266572876,0.211233881,0.048808607,248071.0,32910.0,135000.0,26917.0,5.02,95000.0,20579.0,4.62,218.0,83920.0,23130.0,5500.0,740.0,0.0,448.0,448.0,580.0,120.0,220.0,405.0
98,0.422897769,0.026477078,0.005516058,0.293576857,0.113508213,0.018632018,0.119392008,27.3,76.5,81.1,475.0,420.0,35318.0,0.442242724,0.268351325,0.28940595,0.130600372,0.121639777,0.248604144,0.257145674,0.195962186,0.046047847,81133.0,7300.0,110000.0,25425.0,4.33,70000.0,21151.0,3.31,35.0,27550.0,8390.0,1140.0,180.0,6.0,385.0,391.0,235.0,45.0,155.0,155.0
99,0.416457023,0.03312369,0.002410901,0.206603774,0.118658281,0.049475891,0.17327044,62.2,77.2,81.7,600.0,521.0,58325.5,0.3723929035,0.3107093195,0.316897777,0.110567375,0.108784796,0.24483018,0.269474512,0.214275547,0.052067589,147539.0,32670.0,160000.0,28064.0,5.7,120000.0,20842.0,5.76,271.0,46075.0,16960.0,4175.0,540.0,0.0,424.0,424.0,320.0,65.0,187.5,252.5
100,0.415523206,0.029042952,0.010579418,0.242173537,0.104756414,0.037128856,0.160795618,193.4,77.6,81.4,525.0,426.0,204525.0,0.513656094,0.241541237,0.244802668,0.145995042,0.142029189,0.258099563,0.250079317,0.163009474,0.040787416,542128.0,36640.0,139950.0,27871.0,5.02,95500.0,20601.0,4.64,699.0,138090.0,58630.0,18890.0,4020.0,301.0,3354.0,3655.0,1930.0,290.0,920.0,1020.0
